number,value,datetime_start,datetime_complete,duration,params_attention_heads,params_batch_size,params_dropout,params_hidden_size,params_learning_rate,params_lstm_layers,state
0,0.2379728302359581,2025-11-29 00:34:24.808906,2025-11-29 01:02:12.307857,0 days 00:27:47.498951,8,1024,0.4,128,0.0001,2,COMPLETE
1,0.2359277187846601,2025-11-29 01:02:12.334189,2025-11-29 01:36:42.601376,0 days 00:34:30.267187,8,512,0.3,256,0.0001,4,COMPLETE
2,0.18857306115329264,2025-11-29 01:36:42.623388,2025-11-29 02:09:48.942668,0 days 00:33:06.319280,8,512,0.2,256,0.001,4,COMPLETE
3,0.16486096704378725,2025-11-29 02:09:48.965622,2025-11-29 02:25:08.246630,0 days 00:15:19.281008,16,256,0.4,128,0.0003,4,COMPLETE
4,0.17684904929250478,2025-11-29 02:25:08.268353,2025-11-29 03:02:56.559631,0 days 00:37:48.291278,16,512,0.2,128,0.001,3,COMPLETE
5,0.3177845525369048,2025-11-29 03:02:56.735758,2025-11-29 03:12:09.370452,0 days 00:09:12.634694,4,1024,0.4,256,0.001,3,PRUNED
6,0.20779488913714886,2025-11-29 03:12:09.390207,2025-11-29 03:35:35.937850,0 days 00:23:26.547643,8,1024,0.3,256,0.0003,3,COMPLETE
7,0.16546945666894317,2025-11-29 03:35:35.960828,2025-11-29 03:57:50.972271,0 days 00:22:15.011443,16,512,0.4,128,0.0003,2,COMPLETE
8,0.18367337076924742,2025-11-29 03:57:50.994158,2025-11-29 04:18:34.993986,0 days 00:20:43.999828,4,256,0.3,256,0.0003,2,COMPLETE
9,0.1515574292652309,2025-11-29 04:18:35.016714,2025-11-29 04:39:40.841970,0 days 00:21:05.825256,16,512,0.3,64,0.001,2,COMPLETE
10,0.2818891175463796,2025-11-29 04:39:40.864543,2025-11-29 04:48:03.583115,0 days 00:08:22.718572,16,512,0.3,64,0.001,2,PRUNED
11,0.13580983912572264,2025-11-29 04:48:03.602455,2025-11-29 05:07:42.729320,0 days 00:19:39.126865,16,256,0.4,64,0.0003,4,COMPLETE
12,0.1576316175609827,2025-11-29 05:07:42.751874,2025-11-29 05:27:11.334627,0 days 00:19:28.582753,16,256,0.4,64,0.0003,4,COMPLETE
13,0.19887032011523842,2025-11-29 05:27:11.357544,2025-11-29 05:38:44.854359,0 days 00:11:33.496815,16,256,0.3,64,0.001,2,PRUNED
14,0.16104665502905846,2025-11-29 05:38:44.873788,2025-11-29 05:58:18.726792,0 days 00:19:33.853004,16,256,0.2,64,0.0001,4,COMPLETE
15,0.23760160140693187,2025-11-29 05:58:18.749302,2025-11-29 06:19:45.800228,0 days 00:21:27.050926,16,512,0.4,64,0.0003,4,PRUNED
16,0.1897414272557944,2025-11-29 06:19:45.828459,2025-11-29 06:30:18.425687,0 days 00:10:32.597228,4,256,0.3,64,0.001,2,PRUNED
17,0.15241668964270502,2025-11-29 06:30:18.445282,2025-11-29 06:49:54.712939,0 days 00:19:36.267657,16,256,0.4,64,0.001,4,COMPLETE
18,0.1423939858749509,2025-11-29 06:49:54.743988,2025-11-29 07:10:57.485666,0 days 00:21:02.741678,16,512,0.3,64,0.0003,2,COMPLETE
19,0.18663755238056182,2025-11-29 07:10:57.508631,2025-11-29 07:21:41.576890,0 days 00:10:44.068259,4,1024,0.2,64,0.0003,3,PRUNED
20,0.18764399686828256,2025-11-29 07:21:41.596751,2025-11-29 07:29:30.847064,0 days 00:07:49.250313,16,256,0.4,64,0.0003,4,PRUNED
21,0.24108012326061726,2025-11-29 07:29:30.866222,2025-11-29 07:37:53.844355,0 days 00:08:22.978133,16,512,0.3,64,0.0003,2,PRUNED
22,0.1872449161671102,2025-11-29 07:37:53.864033,2025-11-29 07:50:27.650763,0 days 00:12:33.786730,16,512,0.3,64,0.0003,2,PRUNED
23,0.28932462306693196,2025-11-29 07:50:27.669932,2025-11-29 07:58:50.499296,0 days 00:08:22.829364,16,512,0.3,64,0.0001,2,PRUNED
24,0.20104097472503782,2025-11-29 07:58:50.518488,2025-11-29 08:07:12.922240,0 days 00:08:22.403752,16,512,0.3,64,0.0003,2,PRUNED
25,0.20692340876907112,2025-11-29 08:07:12.979166,2025-11-29 08:15:37.504369,0 days 00:08:24.525203,16,512,0.3,64,0.001,2,PRUNED
26,0.1319534739293158,2025-11-29 08:15:37.523674,2025-11-29 08:36:39.789889,0 days 00:21:02.266215,16,512,0.3,64,0.0003,2,COMPLETE
27,0.1489383765682578,2025-11-29 08:36:39.812454,2025-11-29 08:57:34.735776,0 days 00:20:54.923322,16,512,0.3,64,0.0003,2,COMPLETE
28,0.21221309535205365,2025-11-29 08:57:34.758219,2025-11-29 09:05:35.827507,0 days 00:08:01.069288,8,1024,0.4,128,0.0003,3,PRUNED
29,0.14798210693523287,2025-11-29 09:05:35.846624,2025-11-29 09:23:22.943590,0 days 00:17:47.096966,4,256,0.2,64,0.0001,4,COMPLETE
30,0.14836382575333118,2025-11-29 09:23:22.966085,2025-11-29 09:44:00.304495,0 days 00:20:37.338410,8,1024,0.4,128,0.0003,2,COMPLETE
31,0.2501716476166621,2025-11-29 09:44:00.327244,2025-11-29 09:51:07.901143,0 days 00:07:07.573899,4,256,0.2,64,0.0001,4,PRUNED
32,0.15824221056886018,2025-11-29 09:51:07.936260,2025-11-29 10:09:02.319234,0 days 00:17:54.382974,4,256,0.2,64,0.0001,4,COMPLETE
33,0.2403072549402714,2025-11-29 10:09:02.347113,2025-11-29 10:16:11.048434,0 days 00:07:08.701321,4,256,0.2,64,0.0001,4,PRUNED
34,0.16592425181530415,2025-11-29 10:16:11.068058,2025-11-29 10:34:44.533397,0 days 00:18:33.465339,4,256,0.2,256,0.0001,4,PRUNED
35,0.19992148980498314,2025-11-29 10:34:44.552879,2025-11-29 10:43:13.170483,0 days 00:08:28.617604,8,512,0.2,64,0.0001,4,PRUNED
36,0.2098690197733231,2025-11-29 10:43:13.190444,2025-11-29 10:50:21.694001,0 days 00:07:08.503557,4,256,0.2,64,0.0003,4,PRUNED
37,0.2517322160303593,2025-11-29 10:50:21.713613,2025-11-29 11:00:48.504653,0 days 00:10:26.791040,16,512,0.3,256,0.0003,4,PRUNED
38,0.2818809696100652,2025-11-29 11:00:48.523992,2025-11-29 11:09:07.316901,0 days 00:08:18.792909,8,256,0.4,128,0.0001,3,PRUNED
39,0.1780078525841236,2025-11-29 11:09:07.336434,2025-11-29 11:26:09.175114,0 days 00:17:01.838680,16,1024,0.3,64,0.0003,2,PRUNED
40,0.24582712043076754,2025-11-29 11:26:09.194361,2025-11-29 11:35:31.096810,0 days 00:09:21.902449,4,512,0.4,256,0.0003,4,PRUNED
41,0.19760971784591674,2025-11-29 11:35:31.115691,2025-11-29 11:49:53.880815,0 days 00:14:22.765124,8,1024,0.4,128,0.0003,2,PRUNED
42,0.15521473627537488,2025-11-29 11:49:54.065332,2025-11-29 12:15:34.733800,0 days 00:25:40.668468,8,1024,0.4,128,0.0003,2,COMPLETE
43,0.20931309886276722,2025-11-29 12:15:34.757010,2025-11-29 12:28:26.935186,0 days 00:12:52.178176,8,1024,0.4,128,0.0003,2,PRUNED
44,0.17104316633194686,2025-11-29 12:28:26.958018,2025-11-29 12:42:18.964940,0 days 00:13:52.006922,8,1024,0.4,128,0.0003,2,PRUNED
45,0.1711636945605278,2025-11-29 12:42:18.983765,2025-11-29 12:55:13.788125,0 days 00:12:54.804360,8,1024,0.4,128,0.0003,2,PRUNED
46,0.23167489729821683,2025-11-29 12:55:13.820438,2025-11-29 13:05:03.149927,0 days 00:09:49.329489,16,256,0.3,128,0.0003,3,PRUNED
47,0.14966238457709552,2025-11-29 13:05:03.169599,2025-11-29 13:33:11.030910,0 days 00:28:07.861311,16,512,0.2,64,0.0001,2,COMPLETE
48,0.2563492186879739,2025-11-29 13:33:11.053776,2025-11-29 13:44:49.594693,0 days 00:11:38.540917,16,256,0.4,256,0.0003,2,PRUNED
49,0.1584229938313365,2025-11-29 13:44:49.617349,2025-11-29 14:07:54.776646,0 days 00:23:05.159297,4,512,0.3,64,0.0003,4,COMPLETE
